Word_ID	Form	Cognate_set_ID	Segments	Alignment	Doubt	Cognate_detection_method	Cognate_source	Alignment_method	Alignment_source
8730	phɔʔ⁵⁵	52	pʰ ɔ ʔ ⁵⁵	pʰ ɔ ʔ ⁵⁵		expert	Hill2017	LingPy:SCA	
8731	fɔʔ⁵⁵	251	f ɔ ʔ ⁵⁵	f ɔ ʔ ⁵⁵		expert	Hill2017	LingPy:SCA	
4639	saŋ³¹tseŋ⁵⁵	440	s a ŋ ³¹ + ts e ŋ ⁵⁵	s a ŋ ³¹ + ts e ŋ ⁵⁵		expert	Hill2017	LingPy:SCA	
545	nau³⁵	189	n a u ³⁵	n a u - ³⁵		expert	Hill2017	LingPy:SCA	
4642	sik⁵⁵	98	s i k ⁵⁵	s i k ⁵⁵		expert	Hill2017	LingPy:SCA	
4644	sak⁵⁵	98	s a k ⁵⁵	s a k ⁵⁵		expert	Hill2017	LingPy:SCA	
551	nuk⁵⁵	189	n u k ⁵⁵	n u - k ⁵⁵		expert	Hill2017	LingPy:SCA	
4648	sa̱k⁵⁵	98	s a̰ k ⁵⁵	s a̰ k ⁵⁵		expert	Hill2017	LingPy:SCA	
4650	ʂɯk⁵⁵	98	ʂ ɯ k ⁵⁵	ʂ ɯ k ⁵⁵		expert	Hill2017	LingPy:SCA	
573	ȵe³⁵	309	nʲ e ³⁵	nʲ - e ³⁵		expert	Hill2017	LingPy:SCA	
574	ŋje⁵⁵	309	ŋ j e ⁵⁵	ŋ j e ⁵⁵		expert	Hill2017	LingPy:SCA	
575	tɛʔ³¹	521	t ɛ ʔ ³¹	t ɛ ʔ ³¹		expert	Hill2017	LingPy:SCA	
